z,n,a,symbol,training_measurement_fm,training_measurement_unc_fm,nuclr_prediction_fm,nuclr_seed_std_fm,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_fm,interval68_lower_fm,interval68_upper_fm,interval95_half_width_fm,interval95_lower_fm,interval95_upper_fm,external_measurement_fm,external_measurement_unc_fm,external_source_key,external_source_doi,training_status
14,23,37,Si,,,3.2178783,0.0043188506,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02256050874,3.195317791,3.240438809,0.04907957131,3.168798729,3.266957871,,,,,
14,24,38,Si,,,3.2333512,0.005614046,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02949755974,3.20385364,3.26284876,0.06482087038,3.16853033,3.29817207,,,,,
14,25,39,Si,,,3.226907,0.0054802406,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0310379931,3.195869007,3.257944993,0.06464408291,3.162262917,3.291551083,,,,,
14,26,40,Si,,,3.2420337,0.005589336,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03394635217,3.208087348,3.275980052,0.07148113273,3.170552567,3.313514833,,,,,
14,27,41,Si,,,3.2333012,0.007076589,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03409689979,3.1992043,3.2673981,0.0739979777,3.159303222,3.307299178,,,,,
14,28,42,Si,,,3.2421613,0.0060814256,40,unmeasured_target_40_models,extrapolation_model_estimate,0.0347539102,3.20740739,3.27691521,0.07296367026,3.16919763,3.31512497,,,,,
14,29,43,Si,,,3.2520072,0.0070996354,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03316378958,3.21884341,3.28517099,0.07002332544,3.181983875,3.322030525,,,,,
14,30,44,Si,,,3.2756462,0.007616593,40,unmeasured_target_40_models,extrapolation_model_estimate,0.03145041769,3.244195782,3.307096618,0.06408840531,3.211557795,3.339734605,,,,,
15,11,26,P,,,3.1874118,0.0084443735,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01037723714,3.177034563,3.197789037,0.02191477253,3.165497027,3.209326573,,,,,
15,12,27,P,,,3.1801422,0.004344647,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01248187508,3.167660325,3.192624075,0.02684697464,3.153295225,3.206989175,,,,,
15,13,28,P,,,3.1481445,0.0037337262,40,unmeasured_target_40_models,extrapolation_model_estimate,0.009416524811,3.138727975,3.157561025,0.02006286806,3.128081632,3.168207368,,,,,
15,14,29,P,,,3.1498666,0.0026597788,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01917273947,3.130693861,3.169039339,0.0413185495,3.108548051,3.191185149,,,,,
15,15,30,P,,,3.1608024,0.002781395,40,unmeasured_target_40_models,extrapolation_model_estimate,0.02010579276,3.140696607,3.180908193,0.04269566198,3.118106738,3.203498062,,,,,
15,16,31,P,3.1889,0.0019,3.1963677,0.002591378,4,measured_target_oof_4_models,heldout_test_aggregate,0.02337834185,3.172989358,3.219746042,0.05230057175,3.144067128,3.248668272,,,,,
15,17,32,P,,,3.2001877,0.002864284,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01601924723,3.184168453,3.216206947,0.03397988171,3.166207818,3.234167582,,,,,
