z,n,a,symbol,ground_state_spin,ground_state_parity,training_measurement_e2_b2,training_measurement_unc_e2_b2,nuclr_prediction_e2_b2,nuclr_seed_std_e2_b2,nuclr_model_count,nuclr_prediction_kind,interval_kind,interval68_half_width_e2_b2,interval68_lower_e2_b2,interval68_upper_e2_b2,interval95_half_width_e2_b2,interval95_lower_e2_b2,interval95_upper_e2_b2
20,16,36,Ca,0,1,,,0.003270308,0.0007461684,40,unmeasured_target_40_models,extrapolation_model_estimate,0.002643176622,0.0006271313779,0.005913484622,0.006455969072,0,0.009726277072
20,18,38,Ca,0,1,0.00194,0.00054,0.0025582302,8.866844e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003901324615,0,0.006459554815,0.008085722555,0,0.01064395275
20,20,40,Ca,0,1,0.001848,0.000136,0.0021297764,0.0002326657,4,measured_target_oof_4_models,heldout_test_aggregate,0.00413164725,0,0.00626142365,0.01020388498,0,0.01233366138
20,22,42,Ca,0,1,0.00738,0.0004,0.0037382625,0.00014762611,4,measured_target_oof_4_models,heldout_test_aggregate,0.003295796735,0.0004424657648,0.007034059235,0.007510846972,0,0.01124910947
20,24,44,Ca,0,1,0.00934,0.00042,0.0031298401,0.0004760555,4,measured_target_oof_4_models,heldout_test_aggregate,0.002703564971,0.0004262751287,0.005833405071,0.0064893562,0,0.0096191963
20,26,46,Ca,0,1,0.00336,0.00026,0.0037391626,0.0004132285,4,measured_target_oof_4_models,heldout_test_aggregate,0.002923686248,0.0008154763521,0.006662848848,0.007544247997,0,0.0112834106
20,28,48,Ca,0,1,0.00184,0.00018,0.0038397557,8.971376e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003643495821,0.0001962598792,0.007483251521,0.009081916036,0,0.01292167174
20,30,50,Ca,0,1,0.000746,3.8e-05,0.004451814,5.6543686e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.003028554194,0.001423259806,0.007480368194,0.007412905129,0,0.01186471913
20,32,52,Ca,0,1,,,0.0021607443,0.0006782368,40,unmeasured_target_40_models,extrapolation_model_estimate,0.004560335274,0,0.006721079574,0.01154790596,0,0.01370865026
20,34,54,Ca,0,1,,,0.001412083,0.00048038238,40,unmeasured_target_40_models,extrapolation_model_estimate,0.004429046398,0,0.005841129398,0.01112805814,0,0.01254014114
20,36,56,Ca,0,1,,,0.000850594,0.00053316035,40,unmeasured_target_40_models,extrapolation_model_estimate,0.004465827368,0,0.005316421368,0.01118465023,0,0.01203524423
20,38,58,Ca,0,1,,,0.00065442076,0.00058824103,40,unmeasured_target_40_models,extrapolation_model_estimate,0.005390775092,0,0.006045195852,0.0131144216,0,0.01376884236
21,21,42,Sc,0,1,0.008325111623,,0.0022517333,3.0104753e-05,4,measured_target_oof_4_models,heldout_test_aggregate,0.002842203344,0,0.005093936644,0.006364429041,0,0.008616162341
22,18,40,Ti,0,1,,,0.006609523,0.001154289,40,unmeasured_target_40_models,extrapolation_model_estimate,0.004507115939,0.002102407061,0.01111663894,0.01148085002,0,0.01809037302
22,20,42,Ti,0,1,0.0172,0.0032,0.003645429,0.00015187719,4,measured_target_oof_4_models,heldout_test_aggregate,0.004305704814,0,0.007951133814,0.0103435511,0,0.0139889801
22,22,44,Ti,0,1,0.0136,0.00088,0.012914933,0.0010920081,4,measured_target_oof_4_models,heldout_test_aggregate,0.009168441324,0.003746491676,0.02208337432,0.0228813106,0,0.0357962436
22,24,46,Ti,0,1,0.01902,0.0005,0.013497147,0.00016062624,4,measured_target_oof_4_models,heldout_test_aggregate,0.004954893298,0.008542253702,0.0184520403,0.013059326,0.000437820997,0.026556473
22,26,48,Ti,0,1,0.01324,0.00058,0.014839983,0.00042688538,4,measured_target_oof_4_models,heldout_test_aggregate,0.00615154731,0.00868843569,0.02099153031,0.01504401462,0,0.02988399762
22,28,50,Ti,0,1,0.0055,0.00032,0.009532231,0.0002376092,4,measured_target_oof_4_models,heldout_test_aggregate,0.002820572725,0.006711658275,0.01235280372,0.007570793957,0.001961437043,0.01710302496
22,30,52,Ti,0,1,0.01206,0.00054,0.010195136,0.00010259182,4,measured_target_oof_4_models,heldout_test_aggregate,0.004244949961,0.005950186039,0.01444008596,0.01151971333,0,0.02171484933
22,32,54,Ti,0,1,0.00714,0.00126,0.011496747,0.00025368907,4,measured_target_oof_4_models,heldout_test_aggregate,0.004679473325,0.006817273675,0.01617622032,0.01074318532,0.0007535616769,0.02223993232
22,34,56,Ti,0,1,0.012,0.004,0.011598412,0.0006978003,4,measured_target_oof_4_models,heldout_test_aggregate,0.006256695933,0.005341716067,0.01785510793,0.0152348031,0,0.0268332151
22,36,58,Ti,0,1,,,0.010642053,0.001651524,40,unmeasured_target_40_models,extrapolation_model_estimate,0.006025398827,0.004616654173,0.01666745183,0.01544741964,0,0.02608947264
22,38,60,Ti,0,1,,,0.012053654,0.0019239712,40,unmeasured_target_40_models,extrapolation_model_estimate,0.006941432055,0.005112221945,0.01899508605,0.0174411289,0,0.0294947829
22,40,62,Ti,0,1,,,0.009054843,0.003100469,40,unmeasured_target_40_models,extrapolation_model_estimate,0.00766097404,0.00139386896,0.01671581704,0.01931740872,0,0.02837225172
22,42,64,Ti,0,1,,,0.0105575165,0.006726885,40,unmeasured_target_40_models,extrapolation_model_estimate,0.006790762303,0.003766754197,0.0173482788,0.01678834802,0,0.02734586452
23,23,46,V,0,1,,,0.011265131,0.0031457506,40,unmeasured_target_40_models,extrapolation_model_estimate,0.01038421659,0.0008809144141,0.02164934759,0.02672123992,0,0.03798637092
24,18,42,Cr,0,1,,,0.009380171,0.0023246845,40,unmeasured_target_40_models,extrapolation_model_estimate,0.005837753194,0.003542417806,0.01521792419,0.01454592258,0,0.02392609358
24,20,44,Cr,0,1,,,0.011462076,0.0043452196,40,unmeasured_target_40_models,extrapolation_model_estimate,0.008541597858,0.002920478142,0.02000367386,0.02188694614,0,0.03334902214
24,22,46,Cr,0,1,0.0186,0.004,0.032092582,0.0045399843,4,measured_target_oof_4_models,heldout_test_aggregate,0.009283247587,0.02280933441,0.04137582959,0.02508948827,0.007003093735,0.05718207027
24,24,48,Cr,0,1,0.0274,0.003,0.034219075,0.0011872259,4,measured_target_oof_4_models,heldout_test_aggregate,0.008366840975,0.02585223402,0.04258591598,0.02069038395,0.01352869105,0.05490945895
