z,n,a,symbol,be2_2plus_adopted,be2_2plus_unc_adopted,E2_2plus_adopted,E2_2plus_unc_adopted,be2_2plus_ref,be2_2plus_type,be2_experimental_count
38,56,94,Sr,0.099,0.047,836.9,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
38,58,96,Sr,0.231,0.011,814.93,0.07,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
38,60,98,Sr,1.24,0.061,144.225,0.006,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
38,62,100,Sr,1.22,0.17,129.16,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
40,42,82,Zr,0.91,0.09,407.0,10.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
40,44,84,Zr,0.437,0.024,539.92,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
40,46,86,Zr,0.157,0.03,751.75,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
40,48,88,Zr,0.086,0.01,1057.03,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
40,50,90,Zr,0.0627,0.0034,2186.274,0.015,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,15
40,52,92,Zr,0.08,0.0039,934.47,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
40,54,94,Zr,0.0629,0.0045,918.75,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
40,56,96,Zr,0.0314,0.0033,1750.497,0.015,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
40,60,100,Zr,1.11,0.044,212.53,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
40,62,102,Zr,1.35,0.12,151.78,0.11,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
40,64,104,Zr,1.958,0.1,139.3,0.3,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
40,66,106,Zr,1.55,0.05,152.1,,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
42,50,92,Mo,0.0975,0.0043,1509.51,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
42,52,94,Mo,0.2072,0.0074,871.098,0.016,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
42,54,96,Mo,0.2775,0.0059,778.237,0.01,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
42,56,98,Mo,0.2695,0.0057,787.384,0.013,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
42,58,100,Mo,0.53,0.022,535.561,0.022,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
42,60,102,Mo,0.976,0.045,296.61,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
42,62,104,Mo,1.28,0.11,192.19,0.09,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
42,64,106,Mo,1.29,0.065,171.549,0.008,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
42,66,108,Mo,1.74,0.46,192.79,0.15,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
44,52,96,Ru,0.2379,0.0065,832.56,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
44,54,98,Ru,0.401,0.013,652.44,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,6
44,56,100,Ru,0.4927,0.0041,539.51,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
44,58,102,Ru,0.632,0.012,475.0962,0.001,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
44,60,104,Ru,0.826,0.017,358.02,0.07,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
44,62,106,Ru,1.074,0.095,270.07,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
44,64,108,Ru,0.894,0.069,242.23,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
44,66,110,Ru,1.071,0.061,240.71,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,7
44,68,112,Ru,1.107,0.096,236.66,0.17,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
46,54,100,Pd,0.347,0.016,665.5,1.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
46,56,102,Pd,0.46,0.023,556.44,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
46,58,104,Pd,0.529,0.015,555.81,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
46,60,106,Pd,0.66,0.017,511.85,0.23,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
46,62,108,Pd,0.764,0.02,433.938,0.004,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
46,64,110,Pd,0.865,0.023,373.8,0.6,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,11
46,66,112,Pd,0.64,0.11,348.79,0.17,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
46,68,114,Pd,0.83,0.15,332.5,2.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
46,70,116,Pd,0.57,0.18,340.26,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
48,52,100,Cd,0.28,,1004.11,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
48,54,102,Cd,0.257,0.023,776.55,0.14,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
48,56,104,Cd,0.337,0.019,658.0,20.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
48,58,106,Cd,0.407,0.012,632.64,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,8
48,60,108,Cd,0.419,0.014,632.988,0.015,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
48,62,110,Cd,0.426,0.021,657.7645,0.002,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,13
48,64,112,Cd,0.501,0.022,617.52,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,13
48,66,114,Cd,0.536,0.025,558.456,0.002,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,21
48,68,116,Cd,0.58,0.26,513.49,0.15,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
48,70,118,Cd,0.578,0.044,487.77,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
48,72,120,Cd,0.473,0.055,505.94,0.17,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
48,74,122,Cd,0.44,0.2,569.45,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
48,76,124,Cd,0.35,0.19,612.8,0.4,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
48,78,126,Cd,0.263,0.06,,,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
50,54,104,Sn,0.176,0.028,1260.1,0.3,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
50,56,106,Sn,0.209,0.033,1207.7,0.5,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
50,58,108,Sn,0.224,0.016,1206.07,0.1,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,4
50,60,110,Sn,0.231,0.018,1211.88,0.15,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,5
50,62,112,Sn,0.232,0.011,1256.85,0.07,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,13
50,64,114,Sn,0.215,0.013,1299.907,0.007,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,9
50,66,116,Sn,0.2062,0.005,1293.56,0.08,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,23
50,68,118,Sn,0.207,0.004,1229.666,0.016,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,16
50,70,120,Sn,0.1975,0.0024,1171.265,0.015,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,18
50,72,122,Sn,0.1887,0.0045,1140.51,0.03,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,10
50,74,124,Sn,0.1622,0.004,1131.739,0.017,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,16
50,76,126,Sn,0.1269,0.0073,1141.15,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
50,78,128,Sn,0.0771,0.0038,1168.82,0.04,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
50,80,130,Sn,0.023,0.005,1221.26,0.05,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
50,82,132,Sn,0.118,0.026,4041.2,1.5,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,3
50,84,134,Sn,0.029,0.005,725.6,,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,2
52,56,108,Te,0.387,0.047,625.2,2.0,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
52,60,112,Te,0.46,0.04,689.01,0.02,ADNDT_107_1_2016_2016PR01,MODEL_INDEPENDENT,1
